ranking_2023,status_rawan_2023,status_dinamika,kode_kabkot,nama_kabkot,tipologi_swasembada,skor_kerawanan_2019,skor_kerawanan_2023,delta_skor_kerawanan,pangsa_pangan_2019,pangsa_pangan_2023,delta_pangsa_pangan,pct_defisit_kalori_2019,pct_defisit_kalori_2023,delta_defisit_kalori,prevalensi_fies_2019,prevalensi_fies_2023,delta_fies,pct_kemandirian_beras_rt,rerata_kg_produksi_sendiri_beras_rt,rerata_kg_beli_beras_rt,cakupan_bpnt_2023,pengeluaran_kapita_2023,estimasi_populasi_rt_2023
1,Prioritas 1: Sangat Rawan,Relatif Stabil (-5 s/d +5),5,Kab. Garut,Agraris Campuran / Wilayah Penyangga,89.13,85.19,-3.94,53.15,56.64,3.49,43.8,46.93,3.13,24.1,32.04,7.94,25.09,1.62,4.83,30.92,1153587,669021
2,Prioritas 1: Sangat Rawan,Relatif Stabil (-5 s/d +5),4,Kab. Bandung,Agraris Campuran / Wilayah Penyangga,81.61,84.47,2.86,47.6,50.88,3.28,55.3,61.76,6.46,22.4,33.34,10.94,5.77,0.33,5.34,16.45,1399618,976932
3,Prioritas 1: Sangat Rawan,Relatif Stabil (-5 s/d +5),9,Kab. Cirebon,Agraris Campuran / Wilayah Penyangga,84,81.92,-2.08,51.45,54.92,3.47,41.9,45.43,3.53,23.6,32.22,8.62,4.13,0.22,5.12,28.65,1335671,625669
4,Prioritas 1: Sangat Rawan,Relatif Stabil (-5 s/d +5),3,Kab. Cianjur,Sentra Lumbung Padi (Surplus),80.28,78.34,-1.94,54.8,59.52,4.72,37.5,40.35,2.85,18.9,25.12,6.22,30.62,2,4.53,27.93,1116619,694848
5,Prioritas 1: Sangat Rawan,Relatif Stabil (-5 s/d +5),17,Kab. Bandung Barat,Agraris Campuran / Wilayah Penyangga,78.13,77.29,-0.84,49.8,53.78,3.98,48.9,52.71,3.81,19.8,27.09,7.29,15.34,0.84,4.63,32.98,1260900,491270
6,Prioritas 2: Rawan,Relatif Stabil (-5 s/d +5),1,Kab. Bogor,Agraris Campuran / Wilayah Penyangga,72.62,74.95,2.33,48.35,52.75,4.4,58.4,65.06,6.66,15.2,21.72,6.52,3.4,0.22,6.25,19.69,1349703,1501495
7,Prioritas 2: Rawan,Relatif Stabil (-5 s/d +5),10,Kab. Majalengka,Agraris Campuran / Wilayah Penyangga,74.64,72.89,-1.75,50.7,54.51,3.81,41.2,44.51,3.31,19.1,25.68,6.58,4.32,0.21,4.67,34.29,1294346,394891
8,Prioritas 2: Rawan,Relatif Stabil (-5 s/d +5),8,Kab. Kuningan,Agraris Campuran / Wilayah Penyangga,71.65,69.67,-1.98,50.85,54.64,3.79,49.6,53.05,3.45,14.5,19.53,5.03,27.22,1.42,3.79,19.52,1247723,307888
9,Prioritas 2: Rawan,Relatif Stabil (-5 s/d +5),12,Kab. Indramayu,Sentra Lumbung Padi (Surplus),68.97,67.92,-1.05,53.9,58.68,4.78,27.9,30.22,2.32,16.2,21.6,5.4,24.82,1.28,3.89,39.07,1724519,552987
10,Prioritas 2: Rawan,Relatif Stabil (-5 s/d +5),6,Kab. Tasikmalaya,Agraris Campuran / Wilayah Penyangga,69.46,67.34,-2.12,51.9,55.79,3.89,52.1,57.13,5.03,11.2,14.49,3.29,41.19,2.35,3.36,34.62,1112359,535308
11,Prioritas 2: Rawan,Relatif Stabil (-5 s/d +5),11,Kab. Sumedang,Agraris Campuran / Wilayah Penyangga,65.1,64.46,-0.64,49.3,53.51,4.21,36.8,39.36,2.56,16.4,22.08,5.68,34.45,1.93,3.68,29.63,1543000,353060
12,Prioritas 2: Rawan,Relatif Stabil (-5 s/d +5),18,Kab. Pangandaran,Agraris Campuran / Wilayah Penyangga,64.24,64.12,-0.12,51.6,55.72,4.12,26.4,28.27,1.87,16.5,23.17,6.67,44.92,2.73,3.35,21.51,1388563,129199
13,Prioritas 3: Rentan,Relatif Stabil (-5 s/d +5),14,Kab. Purwakarta,Agraris Campuran / Wilayah Penyangga,64.06,63.24,-0.82,49.5,53.6,4.1,39.5,42.19,2.69,14.7,19.85,5.15,22.61,1.46,4.99,16.75,1599276,272626
14,Prioritas 3: Rentan,Relatif Stabil (-5 s/d +5),2,Kab. Sukabumi,Agraris Campuran / Wilayah Penyangga,63.78,62.63,-1.15,52.4,56.44,4.04,31.2,33.48,2.28,13.8,18.96,5.16,31.35,1.99,4.35,24.85,1358371,760296
15,Prioritas 3: Rentan,Relatif Stabil (-5 s/d +5),16,Kab. Bekasi,Agraris Campuran / Wilayah Penyangga,58.18,59.99,1.81,43.1,46.89,3.79,51.2,55.58,4.38,14.9,20.89,5.99,3.07,0.17,5.51,9.23,1990560,1097437
16,Prioritas 3: Rentan,Relatif Stabil (-5 s/d +5),7,Kab. Ciamis,Agraris Campuran / Wilayah Penyangga,60.11,59.1,-1.01,52.1,56.18,4.08,28.5,30.84,2.34,12.8,17.42,4.62,23.31,1.37,4.5,51.63,1302629,372817
17,Prioritas 3: Rentan,Relatif Stabil (-5 s/d +5),13,Kab. Subang,Sentra Lumbung Padi (Surplus),59.83,58.64,-1.19,51.2,55.63,4.43,42.1,45.8,3.7,9.4,11.95,2.55,21.14,1.29,4.8,21.85,1327469,480016
18,Prioritas 3: Rentan,Relatif Stabil (-5 s/d +5),72,Kota Sukabumi,Agraris Campuran / Wilayah Penyangga,56.22,57.94,1.72,37.5,38.86,1.36,45.1,49.33,4.23,22.1,32.34,10.24,2.8,0.15,5.34,20.25,2431303,91547
19,Prioritas 3: Rentan,Relatif Stabil (-5 s/d +5),15,Kab. Karawang,Sentra Lumbung Padi (Surplus),55.95,55.2,-0.75,47.8,51.58,3.78,41.8,45.85,4.05,11.1,14.49,3.39,15.12,0.99,5.54,16.44,1601760,681082
20,Prioritas 4: Tahan Pangan,Relatif Stabil (-5 s/d +5),74,Kota Cirebon,Agraris Campuran / Wilayah Penyangga,52.69,50.32,-2.37,41.5,43.11,1.61,54.6,58.78,4.18,12.4,16.71,4.31,0.81,0.04,4.78,39.29,2036250,89473
21,Prioritas 4: Tahan Pangan,Relatif Stabil (-5 s/d +5),77,Kota Cimahi,Konsumen Perkotaan (Net Consumer),51.8,49.5,-2.3,41.2,42.44,1.24,53.7,57.36,3.66,12.5,17.48,4.98,1.83,0.09,4.74,12.93,2351074,158625
22,Prioritas 4: Tahan Pangan,Relatif Stabil (-5 s/d +5),73,Kota Bandung,Konsumen Perkotaan (Net Consumer),44.53,43.9,-0.63,38.2,39.91,1.71,52.8,56.35,3.55,11.9,16.63,4.73,3.65,0.19,4.89,12.84,2766817,673379
23,Prioritas 4: Tahan Pangan,Relatif Stabil (-5 s/d +5),71,Kota Bogor,Konsumen Perkotaan (Net Consumer),40.2,40.74,0.54,34.1,34.78,0.68,52.3,56.71,4.41,14.2,20.72,6.52,0.67,0.04,5.68,22.2,2924583,278025
24,Prioritas 4: Tahan Pangan,Relatif Stabil (-5 s/d +5),76,Kota Depok,Konsumen Perkotaan (Net Consumer),37.98,37.26,-0.72,39.4,41.08,1.68,54.1,58.88,4.78,6.2,8.62,2.42,0.98,0.06,5.65,9.09,2724513,600896
25,Prioritas 4: Tahan Pangan,Relatif Stabil (-5 s/d +5),75,Kota Bekasi,Konsumen Perkotaan (Net Consumer),37.09,35.67,-1.42,37.8,39.57,1.77,53.2,57.13,3.93,7.8,10,2.2,1.08,0.06,5.4,4.41,2864260,768877
26,Prioritas 4: Tahan Pangan,Relatif Stabil (-5 s/d +5),79,Kota Banjar,Agraris Campuran / Wilayah Penyangga,30.49,30.38,-0.11,49.1,52.7,3.6,1.4,1.62,0.22,7.1,9.78,2.68,22.67,1.28,4.35,24.34,1573622,58758
27,Prioritas 4: Tahan Pangan,Relatif Stabil (-5 s/d +5),78,Kota Tasikmalaya,Agraris Campuran / Wilayah Penyangga,30.1,28.77,-1.33,46.8,49.24,2.44,7.5,8.1,0.6,7.6,10.54,2.94,10.26,0.67,5.84,54.64,1894958,191905
