kode_pendidikan,label_jenjang_resmi,n_sampel_rt,estimasi_populasi_rt,rerata_pengeluaran_makanan_rt,rerata_total_pengeluaran_rt,pangsa_pangan_persen,rerata_kalori_perkapita_hari,rerata_protein_perkapita_hari
0,Tidak/Belum Pernah Sekolah,539,288683,1971618,3624579,54.4,2380.6,73.7
1,Paket A,62,24424,2566890,4185690,61.33,2313.1,71.4
2,SDLB,8,3658,1875164,2965992,63.22,2285.2,67.4
3,SD,11445,5793713,2201491,3759806,58.55,2252.7,66.2
4,MI,209,130114,2138699,3416535,62.6,2129.5,62
5,SPM/PDF Ula,12,6479,2103820,3840938,54.77,2238.6,77.1
6,Paket B,46,21463,2274977,3830214,59.4,2536.5,79.5
7,SMPLB,3,1420,3080233,4011744,76.78,2520.3,71.6
8,SMP,4086,2241169,2679168,4887191,54.82,2165.7,64.8
9,MTs,206,99662,2546750,4636781,54.92,2150.6,64.7
11,Paket C,166,75120,2521910,4762770,52.95,2142,65.1
12,SMLB,2,1282,3535265,6683297,52.9,3006.4,99.1
13,SMA,5365,3071062,3327036,7230029,46.02,2137,65.9
14,MA,132,71473,2471411,4927917,50.15,2120,66.3
15,SMK,1085,648547,3195267,7217051,44.27,2124.2,66.9
16,MAK,3,1450,2855201,6961596,41.01,3053.4,87
17,SMP/PDF Ulya,1,246,4445143,6670976,66.63,3319,121.8
18,D1/D2,113,57025,4357762,10779361,40.43,2329.6,73.3
19,D3,371,198334,4508011,11945177,37.74,2236.7,72.5
20,D4,78,36813,5312726,19732781,26.92,2106.1,70.1
21,S1,1745,942763,4533627,12337312,36.75,2216.1,70.8
22,Profesi,9,4450,7990473,31811568,25.12,2272.3,78
23,S2,178,78982,6261049,21125716,29.64,2318.7,77.9
24,S3,26,9992,7781804,33008466,23.58,2236,76.3
